-1:	dummy;	3.4.0	1.8.4	0	1	0	0
0.2509918212890625:	dummy;	0.217211	8	-20	84
0.3095240592956543:	time lag;	0.25099	0.21721
0.25118398666381836:	dummy;	0.218164	8	-20	84
0.30959510803222656:	time lag;	0.25118	0.21816
0.25119495391845703:	dummy;	0.219109	8	-20	84
0.30965495109558105:	time lag;	0.25119	0.21911
0.25119900703430176:	dummy;	0.220065	8	-20	84
0.30971407890319824:	time lag;	0.25120	0.22007
0.251201868057251:	dummy;	0.221022	8	-20	84
0.3097691535949707:	time lag;	0.25120	0.22102
0.2512059211730957:	dummy;	0.221978	8	-20	84
0.30982303619384766:	time lag;	0.25121	0.22198
0.251209020614624:	dummy;	0.222937	8	-20	84
0.3098759651184082:	time lag;	0.25121	0.22294
0.2512338161468506:	dummy;	0.223893	8	-20	84
0.30993008613586426:	time lag;	0.25123	0.22389
0.25124096870422363:	dummy;	0.22485	8	-20	84
0.3099820613861084:	time lag;	0.25124	0.22485
0.25124502182006836:	dummy;	0.225806	8	-20	84
0.31003499031066895:	time lag;	0.25125	0.22581
0.2512478828430176:	dummy;	0.226765	8	-19	83
0.3100881576538086:	time lag;	0.25125	0.22676
0.2512509822845459:	dummy;	0.227721	8	-18	82
0.31014013290405273:	time lag;	0.25125	0.22772
0.2512538433074951:	dummy;	0.228679	8	-17	81
0.3101921081542969:	time lag;	0.25125	0.22868
0.2512679100036621:	dummy;	0.229636	8	-16	80
0.31024718284606934:	time lag;	0.25127	0.22964
0.25127291679382324:	dummy;	0.230594	8	-16	80
0.3102991580963135:	time lag;	0.25127	0.23059
0.25127696990966797:	dummy;	0.231551	8	-16	80
0.3103511333465576:	time lag;	0.25128	0.23155
0.25128793716430664:	dummy;	0.232505	8	-16	80
0.31040310859680176:	time lag;	0.25129	0.23250
0.25129103660583496:	dummy;	0.233444	8	-16	80
0.3104550838470459:	time lag;	0.25129	0.23344
0.2512948513031006:	dummy;	0.234387	8	-16	80
0.31050610542297363:	time lag;	0.25129	0.23439
0.2512989044189453:	dummy;	0.235344	8	-16	80
0.3105580806732178:	time lag;	0.25130	0.23534
0.25132083892822266:	dummy;	0.236302	8	-16	80
0.3106100559234619:	time lag;	0.25132	0.23630
0.25133585929870605:	dummy;	0.237258	8	-16	80
0.31066107749938965:	time lag;	0.25134	0.23726
0.2513399124145508:	dummy;	0.238214	8	-16	80
0.3107130527496338:	time lag;	0.25134	0.23821
0.2513430118560791:	dummy;	0.239167	8	-16	80
0.3107640743255615:	time lag;	0.25134	0.23917
0.2513458728790283:	dummy;	0.240112	8	-16	80
0.31081604957580566:	time lag;	0.25135	0.24011
0.25134897232055664:	dummy;	0.241068	8	-16	80
0.3108680248260498:	time lag;	0.25135	0.24107
0.25135183334350586:	dummy;	0.242025	6	-17	81
0.31092000007629395:	time lag;	0.25135	0.24202
0.2513580322265625:	dummy;	0.242981	4	-18	82
0.3109710216522217:	time lag;	0.25136	0.24298
0.2513618469238281:	dummy;	0.243939	2	-19	83
0.3110229969024658:	time lag;	0.25136	0.24394
0.25136590003967285:	dummy;	0.244896	0	-20	84
0.31107401847839355:	time lag;	0.25137	0.24490
0.251370906829834:	dummy;	0.245853	0	-20	84
0.3111250400543213:	time lag;	0.25137	0.24585
0.2513749599456787:	dummy;	0.24681	0	-20	84
0.31117701530456543:	time lag;	0.25137	0.24681
0.25137996673583984:	dummy;	0.247767	0	-20	84
0.31122803688049316:	time lag;	0.25138	0.24777
0.2513899803161621:	dummy;	0.248724	0	-20	84
0.3112800121307373:	time lag;	0.25139	0.24872
0.25139403343200684:	dummy;	0.249681	0	-20	84
0.31133103370666504:	time lag;	0.25139	0.24968
0.25139904022216797:	dummy;	0.250637	0	-20	84
0.3113820552825928:	time lag;	0.25140	0.25064
0.251417875289917:	dummy;	0.251595	0	-20	84
0.3114340305328369:	time lag;	0.25142	0.25160
0.25142502784729004:	dummy;	0.252552	0	-20	84
0.31148600578308105:	time lag;	0.25143	0.25255
0.25142788887023926:	dummy;	0.253505	0	-20	84
0.3115379810333252:	time lag;	0.25143	0.25350
0.2514328956604004:	dummy;	0.254444	0	-20	84
