2.797037124633789:	waypoints;	goal_x,	-71.42080993386642|	goal_y,	42.427329760992336
2.8026537895202637:	state;	angle,	0.398481358901|	vx,	0.338747540549|	x m,	-1.01185329535|	x,	-71.4208496215884|	ang v,	-0.233898625953|	y,	42.4273032566234|	vy,	0.32884444942|	y m,	1.05942648036
2.80310320854187:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
2.8157613277435303:	imu;	yaw,	-5.005822658538818
2.8326923847198486:	controller;	angle_command,	0.190321275486|	speed_command,	1.0
2.832754373550415:	waypoints;	goal_x,	-71.42080993386642|	goal_y,	42.427329760992336
2.8354690074920654:	imu;	yaw,	-5.006913661956787
2.8414013385772705:	imu;	yaw,	-5.009095191955566
2.865126848220825:	controller;	angle_command,	0.197417913593|	speed_command,	1.0
2.8651885986328125:	waypoints;	goal_x,	-71.42080919774558|	goal_y,	42.427329588744925
2.865657091140747:	servo;	-10
2.8672497272491455:	imu;	yaw,	-5.010186195373535
2.8725368976593018:	imu;	yaw,	-5.012367248535156
2.8764283657073975:	imu;	yaw,	-5.014549255371094
2.8984477519989014:	controller;	angle_command,	0.19401560301|	speed_command,	1.0
2.8985073566436768:	waypoints;	goal_x,	-71.42080919774558|	goal_y,	42.427329588744925
2.9009978771209717:	imu;	yaw,	-5.015639781951904
2.9064667224884033:	imu;	yaw,	-5.017821788787842
2.923215866088867:	imu;	yaw,	-5.018912315368652
2.932708263397217:	imu;	yaw,	-5.02109432220459
2.935741901397705:	controller;	angle_command,	0.199224302803|	speed_command,	1.0
2.9358861446380615:	waypoints;	goal_x,	-71.42080919774558|	goal_y,	42.427329588744925
2.941073179244995:	imu;	yaw,	-5.023275852203369
2.9448466300964355:	imu;	yaw,	-5.026548385620117
2.9654629230499268:	state;	angle,	0.3712086659|	vx,	0.388638085089|	x m,	-0.817630768728|	x,	-71.4208457882926|	ang v,	-0.854080180448|	y,	42.42730500281535|	vy,	0.248224361024|	y m,	1.37413966984
2.9657950401306152:	encoder;	counts,	2
2.9699347019195557:	controller;	angle_command,	0.212541603195|	speed_command,	1.0
2.9699881076812744:	waypoints;	goal_x,	-71.42080797904111|	goal_y,	42.42732952015889
2.97173810005188:	imu;	yaw,	-5.0320024490356445
2.9779841899871826:	imu;	yaw,	-5.035274982452393
2.9810402393341064:	imu;	yaw,	-5.038547515869141
2.9825785160064697:	servo;	0
2.995880126953125:	imu;	yaw,	-5.041820049285889
3.0030503273010254:	servo;	-10
3.0075204372406006:	controller;	angle_command,	0.213105706339|	speed_command,	1.0
3.007578134536743:	waypoints;	goal_x,	-71.42080797904111|	goal_y,	42.42732952015889
3.012392044067383:	imu;	yaw,	-5.044001579284668
3.016348123550415:	imu;	yaw,	-5.051637649536133
3.0384650230407715:	controller;	angle_command,	0.229902909947|	speed_command,	1.0
3.0385234355926514:	waypoints;	goal_x,	-71.42080797904111|	goal_y,	42.42732952015889
3.039839267730713:	state;	angle,	0.351581480499|	vx,	0.652569289987|	x m,	-0.749181576471|	x,	-71.42084420383325|	ang v,	-1.22165878117|	y,	42.427305618219854|	vy,	0.51203911246|	y m,	1.50422361466
3.0402727127075195:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
3.047010898590088:	imu;	yaw,	-5.053819179534912
3.0504202842712402:	imu;	yaw,	-5.054909706115723
3.0648539066314697:	imu;	yaw,	-5.056000709533691
3.0754644870758057:	controller;	angle_command,	0.238196397655|	speed_command,	1.0
3.0755207538604736:	waypoints;	goal_x,	-71.42086252570152|	goal_y,	42.4273123538726
3.077486515045166:	imu;	yaw,	-5.05709171295166
3.083908796310425:	imu;	yaw,	-5.0592732429504395
3.0869102478027344:	state;	angle,	0.339580799873|	vx,	0.482529358093|	x m,	-0.634713963924|	x,	-71.4208415678686|	ang v,	-0.650391230012|	y,	42.42730664736099|	vy,	0.261866330448|	y m,	1.72063603003
3.0871870517730713:	encoder;	counts,	3
3.1016855239868164:	imu;	yaw,	-5.0625457763671875
3.1128036975860596:	imu;	yaw,	-5.063636779785156
3.117262601852417:	controller;	angle_command,	2.51356095531|	speed_command,	0.6
3.1173181533813477:	waypoints;	goal_x,	-71.42086252570152|	goal_y,	42.4273123538726
3.1217942237854004:	imu;	yaw,	-5.0658183097839355
3.1252822875976562:	imu;	yaw,	-5.069090843200684
3.1389753818511963:	imu;	yaw,	-5.071272373199463
3.1430976390838623:	imu;	yaw,	-5.072363376617432
3.1525917053222656:	controller;	angle_command,	2.55997374652|	speed_command,	0.6
3.152651786804199:	waypoints;	goal_x,	-71.42085339037854|	goal_y,	42.427301124598
3.1570444107055664:	imu;	yaw,	-5.074544906616211
3.160264492034912:	imu;	yaw,	-5.07563591003418
3.1815004348754883:	imu;	yaw,	-5.077817440032959
3.1838014125823975:	controller;	angle_command,	-3.04348509813|	speed_command,	0.6
3.1838555335998535:	waypoints;	goal_x,	-71.42085339037854|	goal_y,	42.427301124598
3.1881086826324463:	imu;	yaw,	-5.078908443450928
3.1922802925109863:	state;	angle,	0.319945300101|	vx,	0.506258853731|	x m,	-0.507060768277|	x,	-71.42083842250334|	ang v,	-0.86861158918|	y,	42.42730779504932|	vy,	0.199842534401|	y m,	1.97887017412
3.192579984664917:	encoder;	counts,	4
3.214850902557373:	controller;	angle_command,	-3.04435153966|	speed_command,	0.6
3.2149155139923096:	waypoints;	goal_x,	-71.42085029496798|	goal_y,	42.42730296869134
3.2171783447265625:	imu;	yaw,	-5.083271503448486
3.224024534225464:	imu;	yaw,	-5.087635040283203
3.2312369346618652:	servo;	0
