1.5518772602081299:	imu;	yaw,	-4.825835704803467
1.5748209953308105:	controller;	speed_command,	0.6|	angle_command,	2.79445633889
1.5748846530914307:	waypoints;	goal_x,	-71.42084295609673|	goal_y,	42.42730520126231
1.5766386985778809:	imu;	yaw,	-4.824744701385498
1.580946683883667:	imu;	yaw,	-4.826926231384277
1.5851783752441406:	imu;	yaw,	-4.825835704803467
1.607079267501831:	controller;	speed_command,	0.6|	angle_command,	2.80668145127
1.607144832611084:	waypoints;	goal_x,	-71.42083989970077|	goal_y,	42.42730592071395
1.6107892990112305:	imu;	yaw,	-4.824744701385498
1.6393029689788818:	controller;	speed_command,	0.6|	angle_command,	2.76381534425
1.6395387649536133:	waypoints;	goal_x,	-71.42083989970077|	goal_y,	42.42730592071395
1.6428782939910889:	imu;	yaw,	-4.825835704803467
1.6472606658935547:	state;	y m,	3.14260759341|	vx,	0.606518643057|	angle,	0.382108505692|	x m,	-0.616532265141|	ang v,	-0.198796744992|	y,	42.427306810822365|	vy,	0.424650131996|	x,	-71.42082424785316
1.6476244926452637:	encoder;	counts,	3
1.6711199283599854:	controller;	speed_command,	0.6|	angle_command,	2.79334802427
1.6711838245391846:	waypoints;	goal_x,	-71.42083989970077|	goal_y,	42.42730592071395
1.673102617263794:	imu;	yaw,	-4.824744701385498
1.677884578704834:	imu;	yaw,	-4.825835704803467
1.6933457851409912:	imu;	yaw,	-4.828017234802246
1.7047789096832275:	controller;	speed_command,	0.6|	angle_command,	2.80542485416
1.7048406600952148:	waypoints;	goal_x,	-71.42083989970077|	goal_y,	42.42730592071395
1.7080581188201904:	imu;	yaw,	-4.830198764801025
1.7365024089813232:	controller;	speed_command,	0.6|	angle_command,	2.81629218285
1.7365686893463135:	waypoints;	goal_x,	-71.42083695619952|	goal_y,	42.427306579890036
1.7383761405944824:	imu;	yaw,	-4.831289768218994
1.7427198886871338:	state;	y m,	3.40136220052|	vx,	0.726048890415|	angle,	0.383194308706|	x m,	-0.524483262896|	ang v,	-0.725771105014|	y,	42.42730763840433|	vy,	0.322920119197|	x,	-71.42082109614839
1.743065595626831:	encoder;	counts,	4
1.7474143505096436:	imu;	yaw,	-4.832380294799805
1.7490348815917969:	servo;	-10
1.7692127227783203:	controller;	speed_command,	0.6|	angle_command,	2.80281867237
1.7692749500274658:	waypoints;	goal_x,	-71.42083695619952|	goal_y,	42.427306579890036
1.7708864212036133:	servo;	-11
1.7726566791534424:	imu;	yaw,	-4.833471298217773
1.7758142948150635:	servo;	-13
1.7770087718963623:	imu;	yaw,	-4.832380294799805
1.7912731170654297:	imu;	yaw,	-4.830198764801025
1.7930693626403809:	servo;	-14
1.8007962703704834:	servo;	-15
1.8044195175170898:	controller;	speed_command,	0.6|	angle_command,	2.81512954373
1.8044896125793457:	waypoints;	goal_x,	-71.42083695619952|	goal_y,	42.427306579890036
1.8057215213775635:	servo;	-16
1.808093547821045:	imu;	yaw,	-4.828017234802246
1.8119940757751465:	state;	y m,	3.40136220052|	vx,	0.726048890415|	angle,	0.383194308706|	x m,	-0.524483262896|	ang v,	-0.725771105014|	y,	42.42730763840433|	vy,	0.322920119197|	x,	-71.42082109614839
1.8123352527618408:	encoder;	counts,	5
1.8157939910888672:	servo;	-17
1.8369836807250977:	controller;	speed_command,	0.6|	angle_command,	2.82323414633
1.837045669555664:	waypoints;	goal_x,	-71.42083423831036|	goal_y,	42.427306705804725
