2.35904598236084:	lidar;	367
2.359067916870117:	lidar;	28	9	7656
2.366968870162964:	lidar;	541
2.3669779300689697:	lidar;	29	9	7656
2.373976945877075:	lidar;	331
2.3739829063415527:	lidar;	30	9	7616
2.384187936782837:	lidar;	327
2.3913228511810303:	lidar;	31	9	7496
2.3914008140563965:	lidar;	331
2.3914098739624023:	lidar;	32	9	7512
2.3970580101013184:	lidar;	343
2.3970718383789062:	lidar;	33	9	7680
2.4039528369903564:	lidar;	366
2.4049630165100098:	lidar;	34	9	7640
2.412038803100586:	lidar;	402
2.4120500087738037:	lidar;	35	9	7664
2.4190478324890137:	lidar;	1
2.419066905975342:	lidar;	36	9	7384
2.42706298828125:	lidar;	547
2.4270880222320557:	lidar;	37	9	7504
2.434008836746216:	lidar;	710
2.434022903442383:	lidar;	0	10	7384
2.4482059478759766:	lidar;	957
2.4482219219207764:	lidar;	1	10	7384
2.456965923309326:	lidar;	907
2.4569849967956543:	lidar;	2	10	7504
2.4570469856262207:	lidar;	896
2.4570538997650146:	lidar;	3	10	7528
2.4639668464660645:	lidar;	319
2.4639739990234375:	lidar;	4	10	7248
2.4850399494171143:	lidar;	89
2.486006021499634:	lidar;	5	10	21504
2.4929919242858887:	lidar;	75
2.4929988384246826:	lidar;	6	10	7536
2.49995493888855:	lidar;	67
2.4999659061431885:	lidar;	7	10	7184
2.5145299434661865:	lidar;	61
2.5145468711853027:	lidar;	8	10	7240
2.5220038890838623:	lidar;	54
2.522022008895874:	lidar;	9	10	7368
2.5220839977264404:	lidar;	52
2.5220909118652344:	lidar;	10	10	7408
2.528958797454834:	lidar;	51
2.528965950012207:	lidar;	11	10	7040
2.5370359420776367:	lidar;	52
2.5370538234710693:	lidar;	12	10	7384
2.5440049171447754:	lidar;	54
2.544019937515259:	lidar;	13	10	7128
2.5510659217834473:	lidar;	57
2.5510900020599365:	lidar;	14	10	7632
2.559001922607422:	lidar;	35
2.5590147972106934:	lidar;	15	10	7472
2.5660369396209717:	lidar;	32
2.566049814224243:	lidar;	16	10	7280
2.584249973297119:	lidar;	32
2.5842678546905518:	lidar;	17	10	7344
2.5882530212402344:	lidar;	23
2.588268995285034:	lidar;	18	10	7128
2.588385820388794:	lidar;	22
2.5883970260620117:	lidar;	19	10	7332
2.596141815185547:	lidar;	23
2.5970559120178223:	lidar;	20	10	7284
2.602001905441284:	lidar;	19
2.602015972137451:	lidar;	21	10	7144
2.6109700202941895:	lidar;	19
2.610982894897461:	lidar;	22	10	7128
2.6169660091400146:	lidar;	20
2.6169729232788086:	lidar;	23	10	7248
2.6241729259490967:	lidar;	22
2.6241958141326904:	lidar;	24	10	7248
2.6310160160064697:	lidar;	23
2.6310298442840576:	lidar;	25	10	7136
2.6539700031280518:	lidar;	472
2.6539878845214844:	lidar;	26	10	7504
2.653995990753174:	lidar;	401
2.6540019512176514:	lidar;	27	10	7392
2.6540629863739014:	lidar;	367
2.6540699005126953:	lidar;	28	10	7672
2.661005973815918:	lidar;	543
2.6610138416290283:	lidar;	29	10	7640
2.6690618991851807:	lidar;	331
2.66908597946167:	lidar;	30	10	7632
2.6769700050354004:	lidar;	327
2.6769800186157227:	lidar;	31	10	7632
2.683964967727661:	lidar;	330
2.683973789215088:	lidar;	32	10	7520
2.691967010498047:	lidar;	342
2.6919729709625244:	lidar;	33	10	7640
2.7010579109191895:	lidar;	371
