2.147890090942383:	lidar;	27	11
2.148707866668701:	lidar;	416
2.1487200260162354:	lidar;	28	11
2.155663013458252:	lidar;	492
2.1556689739227295:	lidar;	29	11
2.1636390686035156:	lidar;	977
2.1636500358581543:	lidar;	30	11
2.1716649532318115:	lidar;	902
2.171674966812134:	lidar;	31	11
2.179655075073242:	lidar;	1
2.179661989212036:	lidar;	32	11
2.1846630573272705:	lidar;	137
2.184669017791748:	lidar;	33	11
2.1886589527130127:	lidar;	98
2.1896650791168213:	lidar;	34	11
2.193660020828247:	lidar;	84
2.1936659812927246:	lidar;	35	11
2.1976630687713623:	lidar;	73
2.1976780891418457:	lidar;	36	11
2.2127809524536133:	lidar;	63
2.212799072265625:	lidar;	37	11
2.2128078937530518:	lidar;	57
2.2128140926361084:	lidar;	0	12
2.212820053100586:	lidar;	54
2.2128260135650635:	lidar;	1	12
2.2157058715820312:	lidar;	53
2.215718984603882:	lidar;	2	12
2.2196569442749023:	lidar;	45
2.219666004180908:	lidar;	3	12
2.224660873413086:	lidar;	44
2.224665880203247:	lidar;	4	12
2.232661008834839:	lidar;	45
2.232675075531006:	lidar;	5	12
