6.054495096206665:	lidar;	12	23
6.062015056610107:	lidar;	72
6.0620269775390625:	lidar;	13	23
6.0770649909973145:	lidar;	60
6.077075958251953:	lidar;	14	23
6.093016147613525:	lidar;	53
6.093022108078003:	lidar;	15	23
6.108066082000732:	lidar;	51
6.108078956604004:	lidar;	16	23
6.125813007354736:	lidar;	50
6.125833034515381:	lidar;	17	23
6.140130043029785:	lidar;	48
6.1401519775390625:	lidar;	18	23
6.15701699256897:	lidar;	19
6.157994031906128:	lidar;	19	23
6.192615985870361:	lidar;	20
6.192634105682373:	lidar;	20	23
6.211097955703735:	lidar;	18
6.212006092071533:	lidar;	21	23
6.256498098373413:	lidar;	37
6.256516933441162:	lidar;	22	23
6.280167102813721:	lidar;	33
6.280216932296753:	lidar;	23	23
6.319751977920532:	lidar;	23
6.319770097732544:	lidar;	24	23
6.333054065704346:	lidar;	24
6.333065986633301:	lidar;	25	23
6.358081102371216:	lidar;	20
6.35810112953186:	lidar;	26	23
6.383692979812622:	lidar;	20
6.383710145950317:	lidar;	27	23
6.40707802772522:	lidar;	20
6.407089948654175:	lidar;	28	23
6.428059101104736:	lidar;	17
6.428072929382324:	lidar;	29	23
6.4489991664886475:	lidar;	19
6.449012041091919:	lidar;	30	23
6.4680211544036865:	lidar;	19
6.468034029006958:	lidar;	31	23
6.48902702331543:	lidar;	19
6.48904013633728:	lidar;	32	23
6.508562088012695:	lidar;	18
6.508577108383179:	lidar;	33	23
6.524031162261963:	lidar;	20
6.524044990539551:	lidar;	34	23
6.541020154953003:	lidar;	33
6.541032075881958:	lidar;	35	23
6.557096004486084:	lidar;	415
6.557116985321045:	lidar;	36	23
6.604068040847778:	lidar;	333
6.6040871143341064:	lidar;	37	23
6.619058132171631:	lidar;	343
6.619074106216431:	lidar;	0	24
6.640505075454712:	lidar;	360
6.640521049499512:	lidar;	1	24
6.650038957595825:	lidar;	386
6.650053977966309:	lidar;	2	24
6.665050029754639:	lidar;	428
6.6650660037994385:	lidar;	3	24
6.683081150054932:	lidar;	469
6.683107137680054:	lidar;	4	24
6.704324960708618:	lidar;	642
6.704347133636475:	lidar;	5	24
6.709999084472656:	lidar;	984
6.710008144378662:	lidar;	6	24
6.7240660190582275:	lidar;	935
6.724097013473511:	lidar;	7	24
6.739351034164429:	lidar;	906
6.739459037780762:	lidar;	8	24
6.759689092636108:	lidar;	532
6.75970196723938:	lidar;	9	24
6.772094011306763:	lidar;	179
6.7721171379089355:	lidar;	10	24
6.785959005355835:	lidar;	112
6.786967992782593:	lidar;	11	24
6.8041181564331055:	lidar;	84
6.804135084152222:	lidar;	12	24
6.81795597076416:	lidar;	71
6.817968130111694:	lidar;	13	24
6.834957122802734:	lidar;	58
6.834969997406006:	lidar;	14	24
6.848951101303101:	lidar;	54
6.849915981292725:	lidar;	15	24
6.864976167678833:	lidar;	51
6.864985942840576:	lidar;	16	24
6.880964994430542:	lidar;	50
6.880975961685181:	lidar;	17	24
6.901495933532715:	lidar;	48
6.90151309967041:	lidar;	18	24
6.91599702835083:	lidar;	23
6.916008949279785:	lidar;	19	24
6.940006971359253:	lidar;	22
6.940021991729736:	lidar;	20	24
6.974032163619995:	lidar;	17
6.974059104919434:	lidar;	21	24
7.0120110511779785:	lidar;	38
7.012027978897095:	lidar;	22	24
7.043981075286865:	lidar;	33
