10.932311534881592:	blue_led;	111
10.959829568862915:	blue_led;	110
10.969792604446411:	blue_led;	111
10.97655463218689:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.979241847991943:	blue_led;	112
10.98358678817749:	motors;	44
10.991026639938354:	imu;	yaw,	-2.3627395629882812|	accel_x,	0.029999999329447746|	accel_y,	0.019999999552965164|	compass,	2.2813878059387207|	ang_vx,	0.3281219005584717|	ang_vy,	0.4398229718208313
10.997535705566406:	blue_led;	114
11.001908540725708:	motors;	45
11.007508993148804:	blue_led;	118
11.011911630630493:	motors;	46
11.017553329467773:	servo;	7
11.021974802017212:	blue_led;	0
11.026258945465088:	motors;	0
11.030648708343506:	servo;	0
11.174668312072754:	gps;	long,	0.0|	lat,	0.0|	fix,	False
11.190882682800293:	imu;	yaw,	-2.3725571632385254|	accel_x,	-0.20000000298023224|	accel_y,	0.10000000149011612|	compass,	2.151292085647583|	ang_vx,	-0.16755162179470062|	ang_vy,	0.1466076672077179
11.210155725479126:	servo;	9
11.218274354934692:	servo;	19
11.222856044769287:	blue_led;	51
11.227165460586548:	motors;	20
11.233022451400757:	servo;	30
11.237406015396118:	blue_led;	72
11.241712093353271:	motors;	28
11.246205806732178:	servo;	35
11.250536680221558:	blue_led;	116
11.254837989807129:	motors;	45
11.26061224937439:	blue_led;	115
11.26934027671814:	blue_led;	114
11.283496856689453:	motors;	44
11.296358108520508:	blue_led;	113
11.30628514289856:	blue_led;	114
11.315268754959106:	blue_led;	113
11.521100282669067:	imu;	yaw,	-2.370375394821167|	accel_x,	0.5099999904632568|	accel_y,	-0.029999999329447746|	compass,	2.2319858074188232|	ang_vx,	0.11170107871294022|	ang_vy,	-0.2932153344154358
11.5749990940094:	gps;	long,	0.0|	lat,	0.0|	fix,	False
11.593619585037231:	imu;	yaw,	-2.370375394821167|	accel_x,	0.12999999523162842|	accel_y,	-0.4099999964237213|	compass,	2.207597494125366|	ang_vx,	-0.06283185631036758|	ang_vy,	0.2932153344154358
11.775529384613037:	gps;	long,	0.0|	lat,	0.0|	fix,	False
11.79423189163208:	imu;	yaw,	-2.370375394821167|	accel_x,	0.23000000417232513|	accel_y,	-0.5400000214576721|	compass,	2.2192130088806152|	ang_vx,	-0.027925269678235054|	ang_vy,	-0.041887905448675156
11.807511568069458:	blue_led;	112
11.821799993515015:	imu;	yaw,	-2.370375394821167|	accel_x,	0.23000000417232513|	accel_y,	-0.28999999165534973|	compass,	2.2116475105285645|	ang_vx,	0.06283185631036758|	ang_vy,	0.13962635397911072
11.827965497970581:	blue_led;	111
11.832305669784546:	motors;	43
11.83667778968811:	blue_led;	112
11.84100079536438:	motors;	44
11.843743801116943:	imu;	yaw,	-2.3714661598205566|	accel_x,	-0.20999999344348907|	accel_y,	-0.25|	compass,	2.2116475105285645|	ang_vx,	0.020943952724337578|	ang_vy,	0.04886922240257263
11.846704244613647:	blue_led;	110
11.851252794265747:	motors;	43
11.855690956115723:	blue_led;	109
11.865580320358276:	blue_led;	87
11.869931697845459:	motors;	34
