7.753730535507202:	imu;	yaw,	-6.0606560707092285|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
7.94300389289856:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.143160581588745:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.153106689453125:	imu;	yaw,	-6.0606560707092285|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
8.342374324798584:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.353495836257935:	imu;	yaw,	-6.0606560707092285|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
8.74267864227295:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.755127429962158:	imu;	yaw,	-6.263550281524658|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
8.763885498046875:	imu;	yaw,	-6.270095348358154|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
8.94242548942566:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.143889665603638:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.15531063079834:	imu;	yaw,	-0.03708824887871742|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
9.344103574752808:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.745670795440674:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.752886056900024:	imu;	yaw,	-0.03708824887871742|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
9.9455885887146:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.142917156219482:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.34229302406311:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.353647232055664:	imu;	yaw,	-0.0359974168241024|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
10.370466947555542:	imu;	yaw,	-0.0359974168241024|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
10.374229907989502:	imu;	yaw,	-0.0359974168241024|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
10.383628845214844:	imu;	yaw,	-0.0359974168241024|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
