,servo_steering,gps,,,,,,,encoder,imu,,,,,,,,,,,,
timestamp,position,lat_min,lat_sec,long_min,long_sec,speed,heading,hdop,counts,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,quat_w,quat_x,quat_y,quat_z
169.7998533249,74,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,89,-0.4300000072,-2.8599998951,-9.3199996948,0.2800000012,-0.2700000107,0.3411111236,306.5,-5.8125,-0.875,0.8919067383,3.984375,0.0490722656,0.44921875
169.9066166878,74,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,89,3.3299999237,-2.4600000381,-14.4399995804,-0.1277777851,0.0211111102,0.349999994,305.1875,-5.8125,-1.0625,0.88671875,3.9851074219,0.0494384766,0.4594726563
170.0066480637,74,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,89,5.0599999428,-1.5599999428,15.5600004196,-0.2800000012,0.7655555606,0.2544444501,303.9375,-6.25,-1.0625,0.8814086914,3.9826049805,0.0526733398,0.4691162109
170.1087222099,74,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,90,-0.0299999993,-1.3999999762,12.75,-0.6166666746,0.2755555511,0.2688888907,301.4375,-6,-1.25,0.8711547852,3.9838867188,0.0512084961,0.4880981445
170.2142512798,76,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,90,3.2899999619,-1.5499999523,1.8200000525,0.2088888884,0.3922222257,0.4122222364,300,-6.1875,-1.4375,0.8649291992,3.9838867188,0.0531616211,0.4987792969
170.3160648346,74,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,90,-2.1600000858,-1.4900000095,-11.1400003433,-0.0177777782,0.074444443,0.2677777708,297.8125,-6.25,-1.5,0.8551025391,3.9830932617,0.0538330078,0.5153808594
170.4145393372,74,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,91,-1.2100000381,-0.75,-6.5100002289,-0.6633333564,-0.1044444442,0.349999994,296.375,-6,-1.5,0.8486328125,3.983581543,0.051940918,0.526184082
170.5156390667,68,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,91,-1,-0.5199999809,-9.1300001144,-0.2555555701,-0.1822222173,0.3133333325,294.0625,-5.8125,-1.4375,0.8380126953,3.9830932617,0.049987793,0.5430908203
170.6237783432,54,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,91,-1.0599999428,2.3499999046,-5.9099998474,0.1677777767,-0.2899999917,0.324444443,292.75,-5.625,-1.9375,0.8317871094,3.9867553711,0.0504760742,0.5526733398
170.7232034206,34,40,26.5980987549,79,56.3680000305,8.296959877,1.3499999046,322.0299987793,91,-1.0599999428,2.3499999046,-5.9099998474,0.1677777767,-0.2899999917,0.324444443,292.75,-5.625,-1.9375,0.8317871094,3.9867553711,0.0504760742,0.5526733398
170.8301229477,14,40,26.5993003845,79,56.3689002991,9.0747995377,1.3499999046,329.2700195313,92,-6.6599998474,-1.1499999762,18.75,-0.1566666663,0.2788888812,0.2666666806,288.8125,-5.375,-1.875,0.8124389648,3.9861450195,0.048034668,0.580871582
170.9308874607,2,40,26.5993003845,79,56.3689002991,9.0747995377,1.3499999046,329.2700195313,92,-0.1000000015,-0.5799999833,6.4899997711,-0.0299999993,-0.0511111096,0.3877777755,286.6875,-5.5,-1.9375,0.8014526367,3.9846801758,0.0488891602,0.5958251953
171.0349442959,2,40,26.5993003845,79,56.3689002991,9.0747995377,1.3499999046,329.2700195313,92,2.0899999142,-0.1400000006,-15.8599996567,-0.4133333266,0.1911111176,0.2333333343,285.1875,-5.625,-2.0625,0.7934570313,3.9847412109,0.0502319336,0.6063232422
171.1335902214,-36,40,26.5993003845,79,56.3689002991,9.0747995377,1.3499999046,329.2700195313,92,-2.7999999523,-1.9099999666,-12.8400001526,0.7144444585,-0.4411111176,0.2322222292,284,-5.5,-2.375,0.7871704102,3.9868164063,0.0511474609,0.6145019531
171.2401015759,-38,40,26.5993003845,79,56.3689002991,9.0747995377,1.3499999046,329.2700195313,92,1.5599999428,-0.4399999976,4.6399998665,-0.007777778,0.4166666567,0.1611111164,282.8125,-5.75,-2.0625,0.7805175781,3.9828491211,0.0511474609,0.6228027344
171.3405666351,-38,40,26.5993003845,79,56.3689002991,9.0747995377,1.3499999046,329.2700195313,93,2.9800000191,-1.3500000238,-0.4399999976,-0.277777791,0.0188888889,0.0922222212,282.3125,-5.8125,-2.125,0.7777099609,3.9826660156,0.0513305664,0.6262817383
171.4423856735,0,40,26.5993003845,79,56.3689002991,9.0747995377,1.3499999046,329.2700195313,95,7.9800000191,-1.6599999666,16.3199996948,-0.6444444656,0.7622222304,-0.1444444507,282.0625,-5.9375,-2,0.7766113281,3.9808959961,0.0512695313,0.6276245117
171.5475113392,58,40,26.5993003845,79,56.3689002991,9.0747995377,1.3499999046,329.2700195313,96,0.9499999881,0.5899999738,-14.5600004196,0.6666666865,0.0311111119,0.0022222223,282.25,-5.75,-2.375,0.7776489258,3.9846801758,0.0521850586,0.6264038086
171.6495907307,76,40,26.5993003845,79,56.3689002991,9.0747995377,1.3499999046,329.2700195313,96,-2.7699999809,0.5500000119,-8.4300003052,0.4622222185,0,-0.0011111111,282.375,-5.8125,-2.1875,0.7783203125,3.9833374023,0.0516967773,0.6255493164
171.7607629299,76,40,26.6004009247,79,56.370098114,9.1303596497,1.3499999046,317.5,97,-0.4399999976,-0.0099999998,23.2099990845,-0.1444444507,0.3022222221,0.1322222203,282.0625,-5.75,-1.9375,0.7764892578,3.9813842773,0.049987793,0.6278686523
171.8616883755,74,40,26.6004009247,79,56.370098114,9.1303596497,1.3499999046,317.5,100,-3.1800000668,0.3700000048,-0.0500000007,-0.1411111057,-0.2422222197,0.2011111081,280.875,-5.3125,-2.125,0.7702636719,3.9844360352,0.0479125977,0.6356811523
171.9684429169,76,40,26.6004009247,79,56.370098114,9.1303596497,1.3499999046,317.5,100,1.4400000572,-1.5599999428,2.0099999905,0.7866666913,-0.0577777773,0.3622222245,279.75,-5.625,-2.4375,0.763671875,3.9845581055,0.0514526367,0.643371582
