4.817901372909546:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.8584442138671875:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.899773120880127:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.944041967391968:	blue_led;	255
4.948760032653809:	kalman;	pitch,	0.236350911829|	roll,	1.55404021732|	alt,	-3213.10319483|	yaw,	0.26019513498|	long,	-0.0565690252826|	lat,	38.7416359797
4.9677770137786865:	imu;	yaw,	0.0|	ax,	0.05000000074505806|	ay,	-0.23000000417232513|	az,	0.25|	gx,	0.0|	gy,	0.0|	gz,	0.0|	mx,	46.5|	my,	12.5625|	mz,	-40.5625
4.985305309295654:	gps;	lat,	38.71666717529297|	long,	0.0|	altitude,	0.0|	geoid_height,	0.0|	pdop,	0.0|	hdop,	0.0|	vdop,	0.0|	fix,	False
4.997385263442993:	kalman;	pitch,	0.236399327347|	roll,	1.5540130579|	alt,	-2.45957903191|	yaw,	0.260216628185|	long,	-4.32256897154e-05|	lat,	38.716686274
5.0460429191589355:	kalman;	pitch,	0.236399327347|	roll,	1.5540130579|	alt,	-2.45957903191|	yaw,	0.260216628185|	long,	-4.32256897154e-05|	lat,	38.716686274
5.094658613204956:	kalman;	pitch,	0.236399327347|	roll,	1.5540130579|	alt,	-2.45957903191|	yaw,	0.260216628185|	long,	-4.32256897154e-05|	lat,	38.716686274
5.143334865570068:	kalman;	pitch,	0.236399327347|	roll,	1.5540130579|	alt,	-2.45957903191|	yaw,	0.260216628185|	long,	-4.32256897154e-05|	lat,	38.716686274
5.192003965377808:	kalman;	pitch,	0.236399327347|	roll,	1.5540130579|	alt,	-2.45957903191|	yaw,	0.260216628185|	long,	-4.32256897154e-05|	lat,	38.716686274
5.240613222122192:	kalman;	pitch,	0.236399327347|	roll,	1.5540130579|	alt,	-2.45957903191|	yaw,	0.260216628185|	long,	-4.32256897154e-05|	lat,	38.716686274
5.2891762256622314:	kalman;	pitch,	0.236399327347|	roll,	1.5540130579|	alt,	-2.45957903191|	yaw,	0.260216628185|	long,	-4.32256897154e-05|	lat,	38.716686274
5.307891130447388:	blue_led;	0
5.329524517059326:	kalman;	pitch,	0.236399327347|	roll,	1.5540130579|	alt,	-2.45957903191|	yaw,	0.260216628185|	long,	-4.32256897154e-05|	lat,	38.716686274
5.346257209777832:	imu;	yaw,	6.282094478607178|	ax,	-0.17000000178813934|	ay,	-0.23999999463558197|	az,	0.23000000417232513|	gx,	0.0|	gy,	0.0|	gz,	0.0|	mx,	45.375|	my,	11.875|	mz,	-39.75
5.36390233039856:	gps;	lat,	38.71666717529297|	long,	0.0|	altitude,	0.0|	geoid_height,	0.0|	pdop,	0.0|	hdop,	0.0|	vdop,	0.0|	fix,	False
5.369905948638916:	kalman;	pitch,	0.236399504651|	roll,	1.55401300718|	alt,	-0.0569578390568|	yaw,	0.260216662873|	long,	-9.98369091791e-07|	lat,	38.7166676164
5.410268306732178:	kalman;	pitch,	0.236399504651|	roll,	1.55401300718|	alt,	-0.0569578390568|	yaw,	0.260216662873|	long,	-9.98369091791e-07|	lat,	38.7166676164
5.4505934715271:	kalman;	pitch,	0.236399504651|	roll,	1.55401300718|	alt,	-0.0569578390568|	yaw,	0.260216662873|	long,	-9.98369091791e-07|	lat,	38.7166676164
5.49093770980835:	kalman;	pitch,	0.236399504651|	roll,	1.55401300718|	alt,	-0.0569578390568|	yaw,	0.260216662873|	long,	-9.98369091791e-07|	lat,	38.7166676164
5.531249761581421:	kalman;	pitch,	0.236399504651|	roll,	1.55401300718|	alt,	-0.0569578390568|	yaw,	0.260216662873|	long,	-9.98369091791e-07|	lat,	38.7166676164
5.571649789810181:	kalman;	pitch,	0.236399504651|	roll,	1.55401300718|	alt,	-0.0569578390568|	yaw,	0.260216662873|	long,	-9.98369091791e-07|	lat,	38.7166676164
5.573301553726196:	imu;	yaw,	6.282094478607178|	ax,	-0.10000000149011612|	ay,	0.05000000074505806|	az,	0.15000000596046448|	gx,	0.0|	gy,	0.0|	gz,	0.0|	mx,	45.75|	my,	11.5|	mz,	-40.5625
5.590508699417114:	gps;	lat,	38.71666717529297|	long,	0.0|	altitude,	0.0|	geoid_height,	0.0|	pdop,	0.0|	hdop,	0.0|	vdop,	0.0|	fix,	False
5.611984014511108:	kalman;	pitch,	0.23639950774|	roll,	1.5540130076|	alt,	-0.00529251713306|	yaw,	0.260216662303|	long,	-9.26975218774e-08|	lat,	38.7166672163
5.615020275115967:	imu;	yaw,	6.282094478607178|	ax,	0.1599999964237213|	ay,	-0.18000000715255737|	az,	0.38999998569488525|	gx,	0.0|	gy,	0.0|	gz,	0.0|	mx,	46.5|	my,	12.25|	mz,	-41.75
5.635328769683838:	gps;	lat,	38.71666717529297|	long,	0.0|	altitude,	0.0|	geoid_height,	0.0|	pdop,	0.0|	hdop,	0.0|	vdop,	0.0|	fix,	False
