6.729333162307739:	imu;	yaw,	6.0202956199646
6.734403848648071:	imu;	yaw,	6.01811408996582
6.744604587554932:	imu;	yaw,	6.014841079711914
6.752720594406128:	imu;	yaw,	6.011569023132324
6.761489629745483:	state;	angle,	0.751757069308|	x,	-71.42088592144279|	vx,	-0.393404223585|	ang v,	0.581460069096|	vy,	-0.349772338933|	y,	42.42737555272959
6.762938022613525:	servo;	-8
6.764277219772339:	imu;	yaw,	6.009387016296387
6.770153522491455:	imu;	yaw,	6.006114482879639
6.790221929550171:	servo;	-7
6.795814752578735:	servo;	-8
6.797319173812866:	encoder;	counts,	-11
6.797911643981934:	imu;	yaw,	6.002842426300049
6.798401117324829:	imu;	yaw,	6.000660419464111
6.8039562702178955:	imu;	yaw,	5.997387886047363
6.812760353088379:	imu;	yaw,	5.994115352630615
6.823937177658081:	state;	angle,	0.805055618825|	x,	-71.42088790151966|	vx,	-0.492247439988|	ang v,	0.680625520353|	vy,	-0.498661823076|	y,	42.42737787352403
6.826653242111206:	imu;	yaw,	5.9930243492126465
6.833419561386108:	imu;	yaw,	5.990842819213867
6.8558197021484375:	gps;	long,	-71.4209213256836|	lat,	42.42750549316406
6.856464147567749:	imu;	yaw,	5.98538875579834
6.86201286315918:	imu;	yaw,	5.984297752380371
6.867085695266724:	encoder;	counts,	-12
6.873108148574829:	imu;	yaw,	5.9832072257995605
6.883702278137207:	imu;	yaw,	5.982116222381592
6.902431011199951:	state;	angle,	0.8618542837|	x,	-71.42089043577612|	vx,	-0.441047364092|	ang v,	0.543791718924|	vy,	-0.498647762634|	y,	42.42738123496839
6.905447959899902:	imu;	yaw,	5.981025695800781
6.920046091079712:	imu;	yaw,	5.982116222381592
6.941033840179443:	imu;	yaw,	5.981025695800781
6.9471986293792725:	encoder;	counts,	-13
6.952705383300781:	servo;	-7
6.954914569854736:	imu;	yaw,	5.979934215545654
6.974208831787109:	servo;	-6
6.977890253067017:	imu;	yaw,	5.978843688964844
6.978363990783691:	imu;	yaw,	5.977752685546875
6.9811646938323975:	imu;	yaw,	5.978843688964844
6.982365608215332:	servo;	-4
6.991927146911621:	imu;	yaw,	5.977752685546875
7.001027822494507:	imu;	yaw,	5.9766621589660645
7.009293556213379:	imu;	yaw,	5.975571155548096
