6.075455904006958:	imu;	yaw,	-5.688682556152344
6.101144075393677:	imu;	yaw,	-5.6865010261535645
6.101851940155029:	imu;	yaw,	-5.684319496154785
6.1047515869140625:	imu;	yaw,	-5.681046962738037
6.118009090423584:	imu;	yaw,	-5.677774429321289
6.124166011810303:	encoder;	counts,	-14
6.1278791427612305:	imu;	yaw,	-5.673410892486572
6.137866735458374:	state;	ang v,	0.174592415188|	vy,	-0.619862204961|	y,	42.427469769377396|	x,	-71.4208887212251|	vx,	-0.418323046101|	angle,	1.01396580818
6.141905069351196:	imu;	yaw,	-5.672320365905762
6.152068614959717:	imu;	yaw,	-5.670138359069824
6.1765220165252686:	imu;	yaw,	-5.667956829071045
6.177052736282349:	imu;	yaw,	-5.664684295654297
6.184547662734985:	imu;	yaw,	-5.662502765655518
6.198440313339233:	state;	ang v,	0.166809717056|	vy,	-0.802191380688|	y,	42.42747183120788|	x,	-71.42088940609372|	vx,	-0.600648957783|	angle,	1.04276400117
6.200477361679077:	gps;	long,	-71.42089080810547|	lat,	42.4276123046875
6.205310583114624:	encoder;	counts,	-15
6.208173036575317:	imu;	yaw,	-5.6592302322387695
6.234898567199707:	imu;	yaw,	-5.658139228820801
6.238982439041138:	imu;	yaw,	-5.65704870223999
6.244832277297974:	imu;	yaw,	-5.654866695404053
6.258583307266235:	imu;	yaw,	-5.653776168823242
6.269029855728149:	imu;	yaw,	-5.651594161987305
