8.149100065231323:	imu;	yaw,	3.793909788131714
8.14999532699585:	servo;	16
8.156286716461182:	servo;	19
8.15919828414917:	imu;	yaw,	3.796091318130493
8.162463903427124:	servo;	20
8.168678998947144:	servo;	22
8.17081594467163:	imu;	yaw,	3.797182321548462
8.179668664932251:	imu;	yaw,	3.799363851547241
8.186501502990723:	altitude;	altitude,	74.04444122314453
8.189826488494873:	imu;	yaw,	3.8015456199645996
8.193227291107178:	servo;	23
8.20055365562439:	encoder;	counts,	-17
8.207582950592041:	imu;	yaw,	3.803727149963379
8.211504220962524:	imu;	yaw,	3.805908441543579
8.220738649368286:	imu;	yaw,	3.8080902099609375
8.225836753845215:	servo;	22
8.229400396347046:	imu;	yaw,	3.810271978378296
8.233109951019287:	servo;	20
8.239243030548096:	imu;	yaw,	3.813544273376465
8.241457223892212:	servo;	18
8.247761249542236:	altitude;	altitude,	73.75907897949219
8.248776912689209:	servo;	17
8.252125024795532:	imu;	yaw,	3.816816806793213
8.257787466049194:	servo;	16
8.259629964828491:	imu;	yaw,	3.820089340209961
8.266162157058716:	servo;	15
8.26816463470459:	encoder;	counts,	-18
8.27356743812561:	servo;	14
8.276733160018921:	imu;	yaw,	3.823361873626709
8.281710147857666:	servo;	13
8.283976078033447:	imu;	yaw,	3.8255436420440674
8.290661334991455:	imu;	yaw,	3.8288159370422363
8.298894166946411:	imu;	yaw,	3.8309977054595947
8.310517311096191:	imu;	yaw,	3.8342702388763428
8.319923400878906:	imu;	yaw,	3.8386335372924805
8.325079917907715:	altitude;	altitude,	73.8885498046875
8.3311185836792:	imu;	yaw,	3.842996835708618
8.336106777191162:	encoder;	counts,	-19
8.33997893333435:	imu;	yaw,	3.8495419025421143
8.35028862953186:	imu;	yaw,	3.8560869693756104
8.360586881637573:	imu;	yaw,	3.8626317977905273
8.370804071426392:	imu;	yaw,	3.8691768646240234
8.381227254867554:	imu;	yaw,	3.876812696456909
8.38747501373291:	altitude;	altitude,	73.78813934326172
8.391399383544922:	imu;	yaw,	3.884448528289795
8.400879383087158:	imu;	yaw,	3.890993595123291
8.407839059829712:	encoder;	counts,	-20
8.4102783203125:	imu;	yaw,	3.8986294269561768
8.42126989364624:	imu;	yaw,	3.905174493789673
8.430903911590576:	imu;	yaw,	3.9128103256225586
8.43944001197815:	altitude;	altitude,	73.87797546386719
8.443057298660278:	imu;	yaw,	3.9204461574554443
8.450466394424438:	imu;	yaw,	3.9269907474517822
8.464683294296265:	imu;	yaw,	3.9335358142852783
8.467467308044434:	encoder;	counts,	-21
8.470655679702759:	imu;	yaw,	3.9389898777008057
8.48612666130066:	imu;	yaw,	3.9455349445343018
8.490828514099121:	imu;	yaw,	3.952080011367798
8.50001859664917:	altitude;	altitude,	73.77757263183594
8.506908655166626:	imu;	yaw,	3.957534074783325
8.51069974899292:	imu;	yaw,	3.9640791416168213
8.521154403686523:	imu;	yaw,	3.968442440032959
8.531102895736694:	imu;	yaw,	3.9738965034484863
8.535837173461914:	encoder;	counts,	-22
8.540924072265625:	imu;	yaw,	3.9793508052825928
8.550983905792236:	imu;	yaw,	3.985895872116089
8.561524629592896:	imu;	yaw,	3.992440700531006
8.565637111663818:	servo;	12
8.567319869995117:	altitude;	altitude,	74.01273345947266
8.570237636566162:	imu;	yaw,	4.000076770782471
8.589775800704956:	servo;	9
8.605920314788818:	servo;	8
8.629685878753662:	servo;	7
8.646000862121582:	servo;	6
8.68700885772705:	gps;	lat,	42.427398681640625|	long,	-71.4210433959961|	altitude,	89.80000305175781|	found,	12
