4.868485450744629:	state;	y,	42.427305371972|	x m,	-0.776570925495|	angle,	4.3217436866|	vy,	-0.145343550803|	ang v,	0.0212162993753|	x,	-71.42085222113015|	y m,	0.8460043183|	vx,	-0.145342899688
4.868884086608887:	yaw;	yaw,	-5.266530990600586
4.891320705413818:	blue_led;	99
4.903820753097534:	state;	y,	42.42730605206956|	x m,	-0.700926188572|	angle,	4.32280113209|	vy,	-0.136740874822|	ang v,	0.0330041048808|	x,	-71.42085211597481|	y m,	0.854637551642|	vx,	-0.136740826515
4.904538631439209:	yaw;	yaw,	-5.267621994018555
4.91982626914978:	motors;	39
4.927124977111816:	blue_led;	94
4.935359477996826:	motors;	37
4.939525842666626:	state;	y,	42.42730605206956|	x m,	-0.700926188572|	angle,	4.32280113209|	vy,	-0.136740874822|	ang v,	0.0330041048808|	x,	-71.42085211597481|	y m,	0.854637551642|	vx,	-0.136740826515
4.940615177154541:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
4.942875385284424:	blue_led;	90
