5.22000527381897:	altitude;	altitude,	74.09992980957031
5.223176717758179:	imu;	yaw,	-4.627304553985596
5.245617866516113:	altitude;	altitude,	74.11314392089844
5.250165939331055:	encoder;	counts,	61
5.255589246749878:	imu;	yaw,	-4.628395080566406
5.265427112579346:	imu;	yaw,	-4.629486083984375
5.274614095687866:	imu;	yaw,	-4.630577087402344
5.284701585769653:	imu;	yaw,	-4.633849620819092
5.292328834533691:	altitude;	altitude,	73.91761016845703
5.297530174255371:	imu;	yaw,	-4.636031150817871
5.305758953094482:	encoder;	counts,	62
5.311106204986572:	imu;	yaw,	-4.63821268081665
5.316329479217529:	imu;	yaw,	-4.641485214233398
5.324421167373657:	imu;	yaw,	-4.643666744232178
5.3395185470581055:	altitude;	altitude,	73.98367309570312
5.362967014312744:	encoder;	counts,	63
5.376219272613525:	altitude;	altitude,	74.01537322998047
5.379512548446655:	imu;	yaw,	-4.642576217651367
5.3849310874938965:	imu;	yaw,	-4.643666744232178
5.404176235198975:	imu;	yaw,	-4.6447577476501465
5.416456699371338:	altitude;	altitude,	73.93082427978516
5.421379566192627:	imu;	yaw,	-4.646939277648926
5.426587104797363:	encoder;	counts,	64
5.432490348815918:	imu;	yaw,	-4.6480302810668945
5.437021255493164:	imu;	yaw,	-4.646939277648926
5.444453001022339:	imu;	yaw,	-4.645848751068115
5.467618465423584:	imu;	yaw,	-4.6447577476501465
5.473533868789673:	encoder;	counts,	65
5.476698160171509:	imu;	yaw,	-4.646939277648926
5.481350660324097:	altitude;	altitude,	74.01537322998047
5.48503041267395:	imu;	yaw,	-4.6480302810668945
5.5020363330841064:	imu;	yaw,	-4.649121284484863
5.51698637008667:	imu;	yaw,	-4.650211811065674
5.519214630126953:	servo;	-7
5.523498296737671:	altitude;	altitude,	74.02330017089844
5.52553653717041:	servo;	-6
5.529663801193237:	imu;	yaw,	-4.6480302810668945
5.533641815185547:	encoder;	counts,	66
5.535546779632568:	servo;	-5
5.541000843048096:	imu;	yaw,	-4.643666744232178
5.544409275054932:	servo;	-4
5.547114372253418:	imu;	yaw,	-4.63821268081665
5.560007095336914:	imu;	yaw,	-4.636031150817871
5.577089786529541:	encoder;	counts,	67
5.580632925033569:	imu;	yaw,	-4.63712215423584
5.585034132003784:	imu;	yaw,	-4.639303684234619
5.594184160232544:	altitude;	altitude,	73.99951934814453
5.599950551986694:	imu;	yaw,	-4.642576217651367
5.605764389038086:	imu;	yaw,	-4.645848751068115
