5.370551109313965:	imu;	yaw,	4.9207377433776855
5.372367858886719:	servo;	13
5.3975183963775635:	altitude;	altitude,	-21.412986755371094
5.39824914932251:	encoder;	counts,	65
5.410709381103516:	imu;	yaw,	4.919646739959717
5.411555290222168:	servo;	8
5.418090581893921:	servo;	4
5.4195876121521:	imu;	yaw,	4.9207377433776855
5.448101758956909:	servo;	2
5.452975034713745:	encoder;	counts,	66
5.453960180282593:	servo;	0
5.456187725067139:	imu;	yaw,	4.918556213378906
5.462361812591553:	imu;	yaw,	4.9174652099609375
5.471875905990601:	servo;	-1
5.473585605621338:	imu;	yaw,	4.913101673126221
5.477078437805176:	servo;	-2
5.505678176879883:	imu;	yaw,	4.907647609710693
5.506487846374512:	encoder;	counts,	67
5.512751579284668:	imu;	yaw,	4.889103889465332
5.521753311157227:	imu;	yaw,	4.881467819213867
5.531833648681641:	servo;	-3
5.53826642036438:	imu;	yaw,	4.877104759216309
5.56618595123291:	imu;	yaw,	4.874923229217529
5.566813230514526:	imu;	yaw,	4.871650695800781
5.570068597793579:	servo;	-4
5.571655511856079:	encoder;	counts,	68
5.5760321617126465:	servo;	-5
5.5808424949646:	imu;	yaw,	4.868378162384033
5.582030773162842:	servo;	-8
5.591862916946411:	servo;	-9
5.596771478652954:	imu;	yaw,	4.866196155548096
5.614051580429077:	servo;	-11
5.618101119995117:	imu;	yaw,	4.865105628967285
5.630022764205933:	altitude;	altitude,	-25.26013946533203
5.633848190307617:	imu;	yaw,	4.862923622131348
5.640261173248291:	servo;	-12
5.6476335525512695:	encoder;	counts,	69
5.655161380767822:	imu;	yaw,	4.858560562133789
5.666218280792236:	servo;	-13
5.667770624160767:	imu;	yaw,	4.85746955871582
5.679271697998047:	imu;	yaw,	4.858560562133789
5.712225437164307:	encoder;	counts,	70
5.721564531326294:	altitude;	altitude,	-24.71054458618164
5.731701135635376:	imu;	yaw,	4.85637903213501
5.755234003067017:	imu;	yaw,	4.85746955871582
5.75573468208313:	encoder;	counts,	71
5.7637038230896:	imu;	yaw,	4.859651565551758
5.773862361907959:	imu;	yaw,	4.858560562133789
5.78169584274292:	imu;	yaw,	4.859651565551758
5.813838243484497:	imu;	yaw,	4.860742092132568
5.814513921737671:	imu;	yaw,	4.859651565551758
5.81704568862915:	encoder;	counts,	72
5.825985908508301:	imu;	yaw,	4.85746955871582
5.831688642501831:	servo;	-14
5.835998773574829:	imu;	yaw,	4.855288028717041
5.844038009643555:	servo;	-15
5.8756489753723145:	servo;	-16
5.965463638305664:	servo;	-17
5.972583532333374:	servo;	-18
6.009787321090698:	servo;	-19
6.095038414001465:	servo;	-16
6.106910228729248:	gps;	lat,	42.427345275878906|	long,	-71.42082214355469|	altitude,	0.0|	found,	13
6.109621524810791:	servo;	-13
6.11555027961731:	encoder;	counts,	77
6.117892265319824:	servo;	-9
6.127416372299194:	imu;	yaw,	4.884740352630615
6.131851673126221:	servo;	-8
6.139000415802002:	servo;	-7
6.160883903503418:	imu;	yaw,	4.885831356048584
6.170748472213745:	servo;	-6
6.175607442855835:	encoder;	counts,	78
6.186291456222534:	imu;	yaw,	4.888012886047363
6.210654020309448:	imu;	yaw,	4.891285419464111
6.2185423374176025:	altitude;	altitude,	-25.603633880615234
6.232689619064331:	encoder;	counts,	79
6.2563018798828125:	servo;	-8
6.26000714302063:	imu;	yaw,	4.892375946044922
6.260866403579712:	imu;	yaw,	4.894557476043701
6.264635801315308:	servo;	-9
6.272203207015991:	imu;	yaw,	4.89564847946167
6.2862303256988525:	imu;	yaw,	4.896739482879639
6.31763219833374:	imu;	yaw,	4.897830009460449
6.320081949234009:	encoder;	counts,	80
6.320594549179077:	imu;	yaw,	4.898921012878418
6.325643062591553:	altitude;	altitude,	-21.206890106201172
6.332054615020752:	servo;	-10
6.333755016326904:	imu;	yaw,	4.901102542877197
6.349323272705078:	servo;	-11
6.374150991439819:	encoder;	counts,	81
6.374886751174927:	imu;	yaw,	4.900012016296387
6.376131772994995:	servo;	-12
6.38316011428833:	servo;	-13
6.385656356811523:	imu;	yaw,	4.897830009460449
6.388991832733154:	servo;	-14
6.395246982574463:	imu;	yaw,	4.89564847946167
6.41113805770874:	imu;	yaw,	4.894557476043701
6.428523063659668:	servo;	-15
6.4360926151275635:	encoder;	counts,	82
6.443707466125488:	imu;	yaw,	4.893466949462891
6.446601152420044:	servo;	-16
6.451813459396362:	imu;	yaw,	4.891285419464111
6.48189640045166:	imu;	yaw,	4.889103889465332
6.483404874801636:	altitude;	altitude,	-22.633718490600586
6.486912965774536:	imu;	yaw,	4.892375946044922
6.500411033630371:	encoder;	counts,	83
6.505815029144287:	imu;	yaw,	4.889103889465332
6.517278671264648:	imu;	yaw,	4.890194892883301
6.543856620788574:	encoder;	counts,	84
6.544771671295166:	imu;	yaw,	4.888012886047363
6.549022912979126:	servo;	0
6.554113149642944:	motors;	0
6.5598297119140625:	imu;	yaw,	4.891285419464111
6.561424732208252:	servo;	-1
6.566939115524292:	imu;	yaw,	4.897830009460449
6.56941819190979:	servo;	0
6.579689979553223:	imu;	yaw,	4.896739482879639
6.615725755691528:	encoder;	counts,	85
6.619505167007446:	imu;	yaw,	4.898921012878418
6.621813774108887:	imu;	yaw,	4.902193546295166
6.626526355743408:	imu;	yaw,	4.905466079711914
6.634811639785767:	imu;	yaw,	4.907647609710693
6.660969495773315:	imu;	yaw,	4.91201114654541
6.662001371383667:	imu;	yaw,	4.918556213378906
6.676364898681641:	imu;	yaw,	4.922919273376465
6.677274703979492:	encoder;	counts,	86
6.685629606246948:	imu;	yaw,	4.928373336791992
6.7053868770599365:	altitude;	altitude,	-19.764209747314453
6.706198215484619:	imu;	yaw,	4.924010276794434
6.729095458984375:	imu;	yaw,	4.926191806793213
6.729816913604736:	imu;	yaw,	4.928373336791992
6.736251354217529:	imu;	yaw,	4.929464340209961
6.745770692825317:	imu;	yaw,	4.93055534362793
6.757855653762817:	encoder;	counts,	87
6.785923480987549:	imu;	yaw,	4.926191806793213
6.79951286315918:	altitude;	altitude,	-19.811769485473633
6.802236557006836:	imu;	yaw,	4.918556213378906
6.81488299369812:	imu;	yaw,	4.916374206542969
6.825711250305176:	imu;	yaw,	4.910920143127441
6.848837375640869:	imu;	yaw,	4.909829139709473
6.892355918884277:	gps;	lat,	42.427345275878906|	long,	-71.42082214355469|	altitude,	0.0|	found,	13
6.9157490730285645:	encoder;	counts,	88
6.916417121887207:	imu;	yaw,	4.91201114654541
6.92548942565918:	imu;	yaw,	4.910920143127441
6.964998245239258:	imu;	yaw,	4.909829139709473
