7.008677244186401:	encoder;	counts,	72
7.010993719100952:	imu;	yaw,	5.047274112701416
7.149468660354614:	gps;	lat,	42.42736053466797|	long,	-71.42083740234375|	altitude,	0.0|	found,	12
7.150203704833984:	encoder;	counts,	74
7.160937309265137:	imu;	yaw,	5.045092582702637
7.171142816543579:	encoder;	counts,	75
7.212201356887817:	imu;	yaw,	5.044001579284668
7.213279724121094:	imu;	yaw,	5.041820049285889
7.214701890945435:	imu;	yaw,	5.039638042449951
7.2212865352630615:	imu;	yaw,	5.038547515869141
7.238583326339722:	encoder;	counts,	76
7.244983911514282:	altitude;	altitude,	-19.817054748535156
7.281973838806152:	imu;	yaw,	5.041820049285889
7.285574197769165:	imu;	yaw,	5.04072904586792
7.286088705062866:	imu;	yaw,	5.039638042449951
7.29073166847229:	encoder;	counts,	77
7.300349712371826:	imu;	yaw,	5.042910575866699
7.307031631469727:	imu;	yaw,	5.041820049285889
7.3568456172943115:	imu;	yaw,	5.042910575866699
7.357282400131226:	imu;	yaw,	5.044001579284668
7.357698202133179:	encoder;	counts,	78
7.362035512924194:	altitude;	altitude,	-19.943883895874023
7.410603761672974:	altitude;	altitude,	-19.901607513427734
7.411280155181885:	encoder;	counts,	79
7.420369625091553:	imu;	yaw,	5.042910575866699
7.431232452392578:	imu;	yaw,	5.041820049285889
7.441634893417358:	imu;	yaw,	5.039638042449951
7.450445175170898:	imu;	yaw,	5.037456512451172
7.482224941253662:	encoder;	counts,	80
7.482831001281738:	imu;	yaw,	5.041820049285889
7.48787522315979:	imu;	yaw,	5.042910575866699
7.492764949798584:	imu;	yaw,	5.045092582702637
7.499680280685425:	imu;	yaw,	5.048365116119385
7.532700538635254:	encoder;	counts,	81
7.533611059188843:	imu;	yaw,	5.047274112701416
7.54265284538269:	imu;	yaw,	5.046183109283447
7.552841663360596:	altitude;	altitude,	-19.5581111907959
7.561918497085571:	imu;	yaw,	5.042910575866699
7.586642503738403:	encoder;	counts,	82
7.596150636672974:	imu;	yaw,	5.044001579284668
7.61653470993042:	altitude;	altitude,	-19.547542572021484
7.625699996948242:	imu;	yaw,	5.04072904586792
7.636681318283081:	encoder;	counts,	83
7.647749423980713:	imu;	yaw,	5.041820049285889
7.680104732513428:	imu;	yaw,	5.044001579284668
7.680938482284546:	imu;	yaw,	5.047274112701416
7.684370517730713:	imu;	yaw,	5.049455642700195
7.694680690765381:	encoder;	counts,	84
7.702877044677734:	imu;	yaw,	5.056000709533691
7.730166912078857:	altitude;	altitude,	-19.663803100585938
7.7309510707855225:	imu;	yaw,	5.053819179534912
7.735929250717163:	imu;	yaw,	5.051637649536133
7.753018140792847:	encoder;	counts,	85
7.75965428352356:	imu;	yaw,	5.049455642700195
7.773146629333496:	imu;	yaw,	5.048365116119385
7.795573711395264:	imu;	yaw,	5.047274112701416
7.7960240840911865:	imu;	yaw,	5.048365116119385
7.8044726848602295:	imu;	yaw,	5.050546646118164
7.8143041133880615:	encoder;	counts,	86
7.824812412261963:	imu;	yaw,	5.053819179534912
7.853043794631958:	altitude;	altitude,	-21.97843360900879
7.85348653793335:	imu;	yaw,	5.054909706115723
7.862408638000488:	imu;	yaw,	5.053819179534912
7.865907430648804:	encoder;	counts,	87
7.910292148590088:	imu;	yaw,	5.051637649536133
7.911038875579834:	imu;	yaw,	5.049455642700195
7.918104648590088:	imu;	yaw,	5.047274112701416
7.926926136016846:	encoder;	counts,	88
7.936259746551514:	altitude;	altitude,	-19.72193145751953
7.944046974182129:	imu;	yaw,	5.048365116119385
7.973558187484741:	imu;	yaw,	5.050546646118164
7.974461078643799:	imu;	yaw,	5.049455642700195
7.9867730140686035:	encoder;	counts,	89
7.991014003753662:	imu;	yaw,	5.050546646118164
7.999685049057007:	imu;	yaw,	5.051637649536133
8.008588314056396:	imu;	yaw,	5.052728176116943
8.098145961761475:	servo;	-9
8.109203815460205:	servo;	-10
8.113780975341797:	servo;	-11
8.119774580001831:	servo;	-12
8.154098272323608:	gps;	lat,	42.427364349365234|	long,	-71.42082214355469|	altitude,	0.0|	found,	12
8.154551029205322:	encoder;	counts,	91
8.157454490661621:	servo;	-13
8.158726215362549:	imu;	yaw,	5.049455642700195
8.18204641342163:	encoder;	counts,	92
8.183257102966309:	servo;	-14
8.191473007202148:	imu;	yaw,	5.053819179534912
8.213820695877075:	encoder;	counts,	93
8.217615127563477:	imu;	yaw,	5.05709171295166
