2.061344623565674:	imu;	yaw,	1.43771493434906
2.0666861534118652:	imu;	yaw,	1.43771493434906
2.071641445159912:	imu;	yaw,	1.43771493434906
2.076686143875122:	imu;	yaw,	1.43771493434906
2.0829546451568604:	imu;	yaw,	1.43771493434906
2.0859556198120117:	imu;	yaw,	1.43771493434906
2.0966711044311523:	imu;	yaw,	1.43771493434906
2.099093198776245:	imu;	yaw,	1.43771493434906
2.103440046310425:	imu;	yaw,	1.43771493434906
2.111402988433838:	imu;	yaw,	1.43771493434906
2.1143980026245117:	imu;	yaw,	1.43771493434906
2.115262269973755:	servo;	-1
2.1187968254089355:	encoder;	counts,	14
2.1264288425445557:	altitude;	altitude,	69.39139556884766
2.1267929077148438:	servo;	-2
2.130066156387329:	imu;	yaw,	1.43771493434906
2.134167432785034:	servo;	-2
2.136828899383545:	imu;	yaw,	1.43771493434906
2.143935203552246:	imu;	yaw,	1.43771493434906
2.1494176387786865:	imu;	yaw,	1.43771493434906
2.1546621322631836:	imu;	yaw,	1.43771493434906
2.1595816612243652:	imu;	yaw,	1.43771493434906
2.165574073791504:	imu;	yaw,	1.43771493434906
2.1693735122680664:	imu;	yaw,	1.43771493434906
2.1744632720947266:	imu;	yaw,	1.43771493434906
2.1789562702178955:	imu;	yaw,	1.43771493434906
2.182854175567627:	imu;	yaw,	1.43771493434906
2.1893386840820312:	imu;	yaw,	1.43771493434906
2.194288969039917:	encoder;	counts,	14
2.1995139122009277:	imu;	yaw,	1.43771493434906
2.204458713531494:	imu;	yaw,	1.43771493434906
2.2108449935913086:	imu;	yaw,	1.43771493434906
2.216217279434204:	imu;	yaw,	1.43771493434906
2.221658945083618:	imu;	yaw,	1.43771493434906
2.2249560356140137:	imu;	yaw,	1.43771493434906
2.2319562435150146:	imu;	yaw,	1.43771493434906
2.2354915142059326:	imu;	yaw,	1.43771493434906
2.2405734062194824:	altitude;	altitude,	69.39139556884766
2.245624542236328:	imu;	yaw,	1.43771493434906
2.253331184387207:	imu;	yaw,	1.43771493434906
2.2566208839416504:	imu;	yaw,	1.43771493434906
2.2613627910614014:	encoder;	counts,	14
2.2667236328125:	imu;	yaw,	1.43771493434906
2.2853689193725586:	imu;	yaw,	1.4322607517242432
2.285616874694824:	imu;	yaw,	1.4322607517242432
2.285858631134033:	imu;	yaw,	1.4322607517242432
2.2862374782562256:	imu;	yaw,	1.4322607517242432
2.2922966480255127:	imu;	yaw,	1.4322607517242432
2.295919418334961:	imu;	yaw,	1.4322607517242432
2.3028247356414795:	imu;	yaw,	1.4322607517242432
2.3079543113708496:	imu;	yaw,	1.4322607517242432
2.3152525424957275:	imu;	yaw,	1.4322607517242432
2.3184621334075928:	imu;	yaw,	1.4322607517242432
2.3228890895843506:	imu;	yaw,	1.4322607517242432
2.3280205726623535:	encoder;	counts,	19
2.333350896835327:	imu;	yaw,	1.4322607517242432
2.3372387886047363:	imu;	yaw,	1.4322607517242432
2.34338116645813:	imu;	yaw,	1.4322607517242432
2.347749710083008:	imu;	yaw,	1.4322607517242432
2.35447359085083:	imu;	yaw,	1.4322607517242432
2.3602101802825928:	altitude;	altitude,	69.60013580322266
2.3691399097442627:	imu;	yaw,	1.4322607517242432
2.3745744228363037:	imu;	yaw,	1.4322607517242432
2.3786489963531494:	imu;	yaw,	1.4322607517242432
2.383291006088257:	imu;	yaw,	1.4322607517242432
2.388303518295288:	imu;	yaw,	1.4322607517242432
2.3931174278259277:	encoder;	counts,	19
2.3987228870391846:	imu;	yaw,	1.4322607517242432
2.404478073120117:	imu;	yaw,	1.4322607517242432
2.4080088138580322:	imu;	yaw,	1.4322607517242432
2.4159820079803467:	imu;	yaw,	1.4322607517242432
2.4201724529266357:	imu;	yaw,	1.4322607517242432
2.4240198135375977:	imu;	yaw,	1.4322607517242432
2.4291858673095703:	imu;	yaw,	1.4322607517242432
2.4345762729644775:	imu;	yaw,	1.4322607517242432
2.4391753673553467:	imu;	yaw,	1.4322607517242432
2.4444477558135986:	imu;	yaw,	1.4322607517242432
2.4497833251953125:	encoder;	counts,	19
2.455122470855713:	imu;	yaw,	1.4322607517242432
2.462693452835083:	imu;	yaw,	1.4322607517242432
2.4660563468933105:	imu;	yaw,	1.4322607517242432
2.4721617698669434:	imu;	yaw,	1.4322607517242432
2.4760124683380127:	imu;	yaw,	1.4322607517242432
2.482862949371338:	altitude;	altitude,	69.60013580322266
2.486436605453491:	imu;	yaw,	1.4322607517242432
2.491668939590454:	imu;	yaw,	1.4322607517242432
2.4970414638519287:	imu;	yaw,	1.4322607517242432
2.503699779510498:	imu;	yaw,	1.4322607517242432
2.507305860519409:	imu;	yaw,	1.4322607517242432
2.512549877166748:	encoder;	counts,	19
2.5181097984313965:	imu;	yaw,	1.4322607517242432
2.522505760192871:	servo;	-3
2.5243117809295654:	imu;	yaw,	1.4322607517242432
2.528693199157715:	imu;	yaw,	1.4322607517242432
2.5345191955566406:	imu;	yaw,	1.4322607517242432
2.540318012237549:	imu;	yaw,	1.4322607517242432
2.5455572605133057:	imu;	yaw,	1.4322607517242432
2.5524778366088867:	imu;	yaw,	1.4322607517242432
2.5580763816833496:	imu;	yaw,	1.4322607517242432
2.562157392501831:	imu;	yaw,	1.4322607517242432
2.5661256313323975:	imu;	yaw,	1.4322607517242432
2.571878433227539:	imu;	yaw,	1.4322607517242432
2.575711488723755:	imu;	yaw,	1.4322607517242432
2.5805230140686035:	encoder;	counts,	19
2.5867602825164795:	imu;	yaw,	1.4322607517242432
2.5925638675689697:	imu;	yaw,	1.4322607517242432
2.5983240604400635:	imu;	yaw,	1.4322607517242432
2.6024701595306396:	altitude;	altitude,	69.60013580322266
