1.5916025638580322:	imu;	yaw,	0.022907447069883347
1.5934739112854004:	servo;	0
1.5974667072296143:	imu;	yaw,	0.021816616877913475
1.5984351634979248:	motors;	0
1.6055691242218018:	servo;	0
1.6057045459747314:	imu;	yaw,	0.021816616877913475
1.6089847087860107:	motors;	0
1.612198829650879:	imu;	yaw,	0.021816616877913475
1.6142101287841797:	servo;	0
1.618699073791504:	imu;	yaw,	0.020725784823298454
1.6197350025177002:	motors;	80
1.6265387535095215:	servo;	0
1.6266834735870361:	imu;	yaw,	0.020725784823298454
1.6300382614135742:	motors;	80
1.6327977180480957:	imu;	yaw,	0.019634954631328583
1.635413408279419:	servo;	0
1.639204740524292:	imu;	yaw,	0.019634954631328583
1.6401479244232178:	motors;	80
1.6457703113555908:	imu;	yaw,	0.01854412443935871
1.6469011306762695:	servo;	0
1.6540188789367676:	motors;	80
1.654170036315918:	imu;	yaw,	0.01854412443935871
1.656935691833496:	servo;	0
1.661078929901123:	imu;	yaw,	0.01745329238474369
1.6621215343475342:	motors;	0
1.6668307781219482:	imu;	yaw,	0.01636246219277382
1.6685538291931152:	servo;	0
1.6752312183380127:	motors;	80
1.6753602027893066:	imu;	yaw,	0.01636246219277382
1.6806466579437256:	servo;	0
1.6847641468048096:	imu;	yaw,	0.015271632000803947
1.6860415935516357:	motors;	80
1.691112756729126:	servo;	0
1.6941719055175781:	imu;	yaw,	0.014180800877511501
1.695842981338501:	motors;	80
1.6991660594940186:	imu;	yaw,	0.014180800877511501
1.7010555267333984:	servo;	0
1.7050707340240479:	imu;	yaw,	0.014180800877511501
1.7061469554901123:	motors;	81
1.716686725616455:	servo;	0
1.7168309688568115:	imu;	yaw,	0.014180800877511501
1.7220826148986816:	motors;	82
1.722219467163086:	imu;	yaw,	0.013089969754219055
1.7274861335754395:	servo;	0
1.7276151180267334:	imu;	yaw,	0.011999139562249184
1.7328531742095947:	motors;	82
1.736363410949707:	imu;	yaw,	0.011999139562249184
1.738022804260254:	servo;	0
1.7411794662475586:	imu;	yaw,	0.010908308438956738
1.742915153503418:	motors;	80
1.747483491897583:	imu;	yaw,	0.010908308438956738
1.7487595081329346:	servo;	0
1.7542402744293213:	motors;	80
1.7543725967407227:	imu;	yaw,	0.010908308438956738
1.7589571475982666:	imu;	yaw,	0.009817477315664291
1.7601284980773926:	servo;	0
1.7667732238769531:	motors;	0
1.7669031620025635:	imu;	yaw,	0.009817477315664291
1.769618272781372:	servo;	0
1.7754542827606201:	motors;	0
1.7756338119506836:	imu;	yaw,	0.009817477315664291
1.7790858745574951:	encoder;	counts,	1
1.7802410125732422:	servo;	0
1.7870607376098633:	motors;	0
1.7871928215026855:	imu;	yaw,	0.010908308438956738
1.7920682430267334:	servo;	0
1.79219388961792:	imu;	yaw,	0.009817477315664291
1.7951898574829102:	motors;	0
1.7984144687652588:	imu;	yaw,	0.009817477315664291
1.8005609512329102:	servo;	0
1.804985523223877:	imu;	yaw,	0.009817477315664291
1.806105136871338:	motors;	0
1.813042163848877:	servo;	0
1.8131778240203857:	imu;	yaw,	0.010908308438956738
1.8162848949432373:	motors;	0
1.8187227249145508:	imu;	yaw,	0.010908308438956738
1.8215305805206299:	servo;	0
1.8266305923461914:	motors;	0
1.8267576694488525:	imu;	yaw,	0.010908308438956738
1.8343360424041748:	servo;	0
1.8345041275024414:	imu;	yaw,	0.011999139562249184
1.837873935699463:	motors;	0
1.8404693603515625:	imu;	yaw,	0.011999139562249184
1.8431947231292725:	servo;	0
1.8464155197143555:	imu;	yaw,	0.011999139562249184
1.8480939865112305:	motors;	0
1.8519155979156494:	imu;	yaw,	0.013089969754219055
1.8533854484558105:	servo;	0
1.8567452430725098:	encoder;	counts,	1
1.8584609031677246:	motors;	0
1.865220308303833:	servo;	0
1.8653762340545654:	imu;	yaw,	0.014180800877511501
1.8690516948699951:	imu;	yaw,	0.015271632000803947
1.8703398704528809:	motors;	0
1.8768668174743652:	imu;	yaw,	0.015271632000803947
1.8778407573699951:	servo;	0
1.8842694759368896:	motors;	0
1.8844020366668701:	imu;	yaw,	0.01636246219277382
1.8875892162322998:	servo;	0
1.8901784420013428:	imu;	yaw,	0.01745329238474369
1.8919119834899902:	motors;	0
1.8965306282043457:	imu;	yaw,	0.01745329238474369
1.8982586860656738:	servo;	0
1.9017393589019775:	imu;	yaw,	0.01854412443935871
1.9034326076507568:	motors;	0
1.9087824821472168:	servo;	0
1.909430980682373:	imu;	yaw,	0.01854412443935871
1.9157366752624512:	motors;	0
1.915865421295166:	imu;	yaw,	0.01854412443935871
1.9187183380126953:	servo;	0
1.9251456260681152:	motors;	0
1.9252772331237793:	imu;	yaw,	0.01854412443935871
1.9303333759307861:	imu;	yaw,	0.019634954631328583
1.9313690662384033:	servo;	0
1.9376118183135986:	motors;	0
