2.0188729763031006:	lidar;	90
2.022830009460449:	lidar;	86
2.026839017868042:	lidar;	85
2.026846170425415:	lidar;	32	7
2.030802011489868:	lidar;	67
2.0368411540985107:	lidar;	68
2.0428709983825684:	lidar;	45
2.0468220710754395:	lidar;	44
2.051851987838745:	lidar;	53
2.0625510215759277:	lidar;	57
2.0628650188446045:	lidar;	52
2.062873125076294:	lidar;	33	7
2.0649731159210205:	lidar;	51
2.0698909759521484:	lidar;	50
2.0718140602111816:	lidar;	58
2.071824073791504:	lidar;	34	7
2.0758609771728516:	lidar;	55
2.0798020362854004:	lidar;	50
2.087895154953003:	lidar;	199
2.0879111289978027:	lidar;	35	7
2.095874071121216:	lidar;	283
2.1038331985473633:	lidar;	1
2.1098620891571045:	lidar;	111
2.1098721027374268:	lidar;	36	7
2.1138041019439697:	lidar;	117
2.117851972579956:	lidar;	118
2.1321470737457275:	lidar;	84
2.1321640014648438:	lidar;	130
2.1321702003479004:	lidar;	37	7
2.13569712638855:	lidar;	119
2.1358160972595215:	lidar;	124
2.1398000717163086:	lidar;	131
2.1438181400299072:	lidar;	361
2.143825054168701:	lidar;	0	8
2.1478090286254883:	lidar;	540
2.151862144470215:	lidar;	491
2.154839038848877:	lidar;	443
2.1558210849761963:	lidar;	1	8
2.159816026687622:	lidar;	84
2.1648480892181396:	lidar;	75
2.168853998184204:	lidar;	69
2.1718361377716064:	lidar;	66
2.1728460788726807:	lidar;	2	8
2.1758241653442383:	lidar;	64
2.179821014404297:	lidar;	67
2.183878183364868:	lidar;	380
2.183894157409668:	lidar;	3	8
2.1925151348114014:	lidar;	393
2.192531108856201:	lidar;	352
2.200946092605591:	lidar;	252
2.2009639739990234:	lidar;	4	8
2.201007127761841:	lidar;	208
2.2038300037384033:	lidar;	181
2.2078189849853516:	lidar;	165
2.2078261375427246:	lidar;	5	8
2.2118821144104004:	lidar;	99
2.2158210277557373:	lidar;	98
2.219879150390625:	lidar;	93
2.2248871326446533:	lidar;	89
2.224900007247925:	lidar;	6	8
2.228830099105835:	lidar;	85
2.234866142272949:	lidar;	86
2.23982310295105:	lidar;	88
2.2438251972198486:	lidar;	90
2.249861001968384:	lidar;	93
2.2611169815063477:	lidar;	88
2.2625370025634766:	lidar;	86
2.262547016143799:	lidar;	7	8
2.265562057495117:	lidar;	72
2.267868995666504:	lidar;	67
2.2748889923095703:	lidar;	44
2.2788591384887695:	lidar;	47
2.2858572006225586:	lidar;	53
2.289821147918701:	lidar;	52
2.2948381900787354:	lidar;	53
2.2998239994049072:	lidar;	54
2.303868055343628:	lidar;	55
2.30387806892395:	lidar;	8	8
2.3068811893463135:	lidar;	53
2.313817024230957:	lidar;	50
2.3261361122131348:	lidar;	246
2.3308820724487305:	lidar;	518
2.330895185470581:	lidar;	9	8
2.339128017425537:	lidar;	1
2.343832015991211:	lidar;	118
2.348906993865967:	lidar;	117
2.3528730869293213:	lidar;	84
2.357861042022705:	lidar;	121
2.3578720092773438:	lidar;	10	8
2.361823081970215:	lidar;	118
2.3678841590881348:	lidar;	124
2.374824047088623:	lidar;	319
2.386101007461548:	lidar;	517
2.3894309997558594:	lidar;	469
2.393627166748047:	lidar;	82
2.3938651084899902:	lidar;	81
2.398836135864258:	lidar;	73
2.402898073196411:	lidar;	68
2.4068551063537598:	lidar;	65
2.4108850955963135:	lidar;	68
2.414818048477173:	lidar;	375
2.4148340225219727:	lidar;	11	8
2.4198970794677734:	lidar;	375
2.423820972442627:	lidar;	327
2.429885149002075:	lidar;	219
2.432835102081299:	lidar;	192
2.432845115661621:	lidar;	12	8
2.4368669986724854:	lidar;	173
2.4418749809265137:	lidar;	101
2.455968141555786:	lidar;	97
2.455984115600586:	lidar;	95
2.4559900760650635:	lidar;	13	8
2.455996036529541:	lidar;	92
2.4604790210723877:	lidar;	86
2.462822198867798:	lidar;	86
2.4668281078338623:	lidar;	86
2.4678080081939697:	lidar;	14	8
2.4708871841430664:	lidar;	88
2.4758081436157227:	lidar;	89
2.480837106704712:	lidar;	91
2.4849181175231934:	lidar;	87
2.4888601303100586:	lidar;	86
2.48887300491333:	lidar;	15	8
2.492846965789795:	lidar;	70
2.496817111968994:	lidar;	66
2.5018560886383057:	lidar;	63
2.5018720626831055:	lidar;	16	8
2.5058281421661377:	lidar;	45
2.5098211765289307:	lidar;	48
2.5258631706237793:	lidar;	53
2.5258800983428955:	lidar;	55
2.52592396736145:	lidar;	51
2.5259320735931396:	lidar;	17	8
2.525938034057617:	lidar;	51
2.530755043029785:	lidar;	50
2.534821033477783:	lidar;	58
2.534837007522583:	lidar;	18	8
2.5378100872039795:	lidar;	56
2.542816162109375:	lidar;	54
2.553838014602661:	lidar;	244
2.5538551807403564:	lidar;	19	8
2.561798095703125:	lidar;	335
2.5718181133270264:	lidar;	82
2.5757951736450195:	lidar;	118
2.5861079692840576:	lidar;	110
2.5869691371917725:	lidar;	89
2.5931801795959473:	lidar;	124
2.5968470573425293:	lidar;	125
2.600910186767578:	lidar;	128
2.6009299755096436:	lidar;	20	8
2.6069700717926025:	lidar;	341
2.6107981204986572:	lidar;	523
2.615784168243408:	lidar;	475
2.620820999145508:	lidar;	80
2.624826192855835:	lidar;	82
2.6297709941864014:	lidar;	72
2.633820056915283:	lidar;	69
2.6397831439971924:	lidar;	64
2.648267984390259:	lidar;	394
2.659255027770996:	lidar;	390
2.6592700481414795:	lidar;	350
2.6592772006988525:	lidar;	253
2.6592819690704346:	lidar;	21	8
2.661750078201294:	lidar;	217
2.6657609939575195:	lidar;	186
2.670797109603882:	lidar;	164
2.6708130836486816:	lidar;	22	8
2.674755096435547:	lidar;	99
2.67875599861145:	lidar;	96
2.6828360557556152:	lidar;	93
2.686812162399292:	lidar;	92
2.686829090118408:	lidar;	23	8
2.6897451877593994:	lidar;	85
2.6947760581970215:	lidar;	85
2.698817014694214:	lidar;	86
2.6988329887390137:	lidar;	24	8
2.702869176864624:	lidar;	87
2.7067670822143555:	lidar;	89
2.7213101387023926:	lidar;	91
2.7213261127471924:	lidar;	90
2.7213311195373535:	lidar;	25	8
2.7213380336761475:	lidar;	85
2.726515054702759:	lidar;	81
2.7267770767211914:	lidar;	69
2.726783037185669:	lidar;	26	8
2.730731964111328:	lidar;	66
2.735809087753296:	lidar;	55
2.740755081176758:	lidar;	44
2.7447280883789062:	lidar;	48
2.744737148284912:	lidar;	27	8
2.747770071029663:	lidar;	52
2.755843162536621:	lidar;	50
2.760815143585205:	lidar;	49
2.766841173171997:	lidar;	59
2.7708590030670166:	lidar;	55
2.772797107696533:	lidar;	55
2.772806167602539:	lidar;	28	8
2.7757720947265625:	lidar;	48
2.7928271293640137:	lidar;	191
2.7928810119628906:	lidar;	291
2.7928900718688965:	lidar;	29	8
2.7988550662994385:	lidar;	366
2.806873083114624:	lidar;	85
2.8108131885528564:	lidar;	117
2.8157520294189453:	lidar;	120
2.8208441734313965:	lidar;	81
2.8257670402526855:	lidar;	138
2.825778007507324:	lidar;	30	8
2.8297760486602783:	lidar;	121
2.8348281383514404:	lidar;	124
2.8428430557250977:	lidar;	307
2.8532609939575195:	lidar;	499
2.854130983352661:	lidar;	448
2.8541390895843506:	lidar;	31	8
2.857814073562622:	lidar;	87
2.862766981124878:	lidar;	79
2.866806983947754:	lidar;	72
2.870788097381592:	lidar;	68
2.8757481575012207:	lidar;	65
2.882841110229492:	lidar;	392
2.8868491649627686:	lidar;	393
2.8927690982818604:	lidar;	350
2.8957881927490234:	lidar;	245
2.8957979679107666:	lidar;	32	8
2.8997840881347656:	lidar;	205
2.9048311710357666:	lidar;	180
2.9142370223999023:	lidar;	138
2.914537191390991:	lidar;	97
2.9145469665527344:	lidar;	33	8
2.921555995941162:	lidar;	97
2.9215691089630127:	lidar;	93
2.9288241863250732:	lidar;	85
2.9288370609283447:	lidar;	34	8
2.931770086288452:	lidar;	86
2.9388489723205566:	lidar;	86
2.9388680458068848:	lidar;	35	8
2.941779136657715:	lidar;	88
2.947749137878418:	lidar;	90
2.9528441429138184:	lidar;	89
2.957813024520874:	lidar;	84
2.9627790451049805:	lidar;	76
2.9668490886688232:	lidar;	66
2.987277030944824:	lidar;	59
2.9872941970825195:	lidar;	36	8
2.98730206489563:	lidar;	49
2.9873580932617188:	lidar;	47
2.9873650074005127:	lidar;	50
2.991823196411133:	lidar;	52
